OpenTime,OpenPoint,OpenHV,CloseTime,ClosePoint,CloseHV,ProfitRate
2022-06-08 13:15:00,4176.8983,0.13138526136761777,2022-06-08 14:45:00,4215.6919,0.13500768562830773,0.06020167264282325
2022-06-08 15:00:00,4219.8122,0.1351409334817522,2022-06-09 13:30:00,4178.7492,0.13706030865123187,0.03082224617432095
2022-06-09 13:45:00,4173.011,0.13243371893243058,2022-06-10 10:15:00,4159.2647,0.13733342227695963,0.029774706650406272
2022-06-10 10:30:00,4171.4996,0.13686539305474993,2022-06-10 13:45:00,4216.5855,0.13883697309374954,0.054693438419924696
2022-06-10 14:00:00,4227.0767,0.13970280051638298,2022-06-13 10:15:00,4181.2226,0.14939753429195815,0.06130987303499052
2022-06-13 10:30:00,4183.2528,0.15249829925994932,2022-06-13 14:30:00,4172.6878,0.1492505415338818,-0.023517094492569078
2022-06-13 14:45:00,4187.1847,0.15062846100030716,2022-06-14 10:45:00,4140.0893,0.15728403809930505,0.0568630244143662
2022-06-14 11:00:00,4128.8379,0.16028667075819014,2022-06-14 14:15:00,4155.8457,0.165970159188968,0.05172548966866235
2022-06-14 14:30:00,4186.717,0.16667628663802195,2022-06-15 09:45:00,4266.2542,0.18682607190549896,0.16176705377058442
2022-06-15 10:00:00,4244.639,0.187094036376344,2022-06-15 13:15:00,4322.5345,0.18450879636133966,0.04524704115430006
2022-06-15 13:30:00,4329.7739,0.1860472132425176,2022-06-15 15:00:00,4278.2178,0.1886816659529504,0.044498209815941624
2022-06-16 09:45:00,4285.7139,0.1886373304367715,2022-06-16 13:30:00,4275.4294,0.18793797148743924,-0.0026334418931070547
2022-06-16 13:45:00,4266.7578,0.18810866637385912,2022-06-17 10:30:00,4270.2827,0.19320608320348534,0.010005089215224703
2022-06-17 10:45:00,4266.2903,0.19321565039191874,2022-06-17 13:45:00,4309.5849,0.20102094079906524,0.05620694956261898
2022-06-17 14:00:00,4298.3961,0.20030458296192394,2022-06-20 11:00:00,4347.6652,0.18807954100057017,-0.09502842285821955
2022-06-20 11:15:00,4353.9612,0.1893317485469211,2022-06-21 09:45:00,4331.6486,0.1803038972568006,-0.06369363696116595
2022-06-21 10:00:00,4345.6703,0.1803736855352818,2022-06-21 13:30:00,4329.3608,0.17861703729403755,-0.006252694870746406
2022-06-21 13:45:00,4324.5338,0.17863668407675773,2022-06-22 10:00:00,4324.2259,0.16032218881813498,-0.15427234632269451
2022-06-22 10:15:00,4318.6546,0.16102614169083043,2022-06-22 14:15:00,4287.9044,0.14842232728937105,-0.07430424885758605
2022-06-22 14:30:00,4280.5037,0.14965493858819612,2022-06-23 13:15:00,4294.8347,0.14754400461995568,-0.040087367515138105
2022-06-23 13:30:00,4308.5118,0.14627031810075586,2022-06-24 09:45:00,4351.8131,0.14742119062800066,0.024429610784733418
2022-06-24 10:00:00,4357.8767,0.14162808019486542,2022-06-24 14:15:00,4396.0556,0.12827077760641928,-0.056764020324194454
2022-06-24 14:30:00,4399.8633,0.1278263407393575,2022-06-27 10:00:00,4436.8009,0.1431167628472404,0.06749627015341886
2022-06-27 10:15:00,4438.3663,0.14164311008231253,2022-06-27 11:30:00,4449.6956,0.14078279446627562,-0.0026125751312475127
2022-06-27 13:15:00,4450.2308,0.1404297549871467,2022-06-28 09:45:00,4419.6242,0.14444612917662186,0.02357076641168411
