OptionProfitRate,LongProfitRate,ShortProfitRate,LstmProfitRate,time
1.0,1.0019777255587583,0.9960222744412418,1.0,2022-02-15 09:45:00
0.9956294498712903,1.0047349984118799,0.9932650015881203,0.9962509131729865,2022-02-15 10:00:00
0.9956294498712903,1.0058275777441101,0.9921724222558899,0.995161577583184,2022-02-15 10:15:00
0.9941381193191665,1.0061455311981313,0.9918544688018688,0.994844568096414,2022-02-15 10:30:00
0.9940153665943683,1.0056438415365132,0.9923561584634867,0.9953447682991038,2022-02-15 10:45:00
0.9912941453413316,1.0070856009138016,0.9909143990861983,0.9939072893396532,2022-02-15 11:00:00
0.9912941453413316,1.0071173984551667,0.9908826015448334,0.9938755862015329,2022-02-15 11:15:00
0.9887009585125022,1.007919539747278,0.9900804602527219,0.9930758263746987,2022-02-15 11:30:00
0.9902732303489161,1.0050792155810062,0.9929207844189939,0.9959077179450619,2022-02-15 13:15:00
0.9860460338076232,1.0055084823894325,0.9924915176105676,0.9954797255804388,2022-02-15 13:30:00
0.9860460338076232,1.0057619623756031,0.9922380376243969,0.9952269981472055,2022-02-15 13:45:00
0.9818215239521011,1.0060479426112352,0.9919520573887648,0.9949418669540149,2022-02-15 14:00:00
0.9828350174813232,1.0041810228759593,0.9938189771240407,0.9968032440192292,2022-02-15 14:15:00
0.9828350174813232,1.0058777115748672,0.9921222884251327,0.9951115925940067,2022-02-15 14:30:00
0.9831318988977015,1.0088171615019965,0.9891828384980036,0.9921808695557741,2022-02-15 14:45:00
0.9838376527582878,1.0091653972830494,0.9888346027169506,0.9918336676467198,2022-02-15 15:00:00
0.9887777641757087,1.0126896540638313,0.9853103459361687,0.98831987397915,2022-02-16 09:45:00
0.9937562260080564,1.016488010921489,0.9815119890785108,0.9845327940063202,2022-02-16 10:00:00
0.9957664911175282,1.0169660939829916,0.9810339060170084,0.9840561303184642,2022-02-16 10:15:00
0.9934227240809506,1.0166824414679292,0.9813175585320708,0.9843389407018197,2022-02-16 10:30:00
0.9924039005603333,1.0160662103865878,0.9819337896134122,0.9849533422639262,2022-02-16 10:45:00
0.9915235832241585,1.0155060422355673,0.9824939577644326,0.9855118473401067,2022-02-16 11:00:00
0.993799980661304,1.016916706779587,0.9810832932204129,0.9841053708969395,2022-02-16 11:15:00
0.9918063119286263,1.0157522096656093,0.9822477903343907,0.9852664107528636,2022-02-16 11:30:00
0.9866685682036347,1.0149212134222867,0.9830787865777132,0.9860949398638761,2022-02-16 13:15:00
0.9866685682036347,1.01381609514246,0.98418390485754,0.9871967771745813,2022-02-16 13:30:00
0.9854728299423747,1.0141470706558937,0.9838529293441064,0.986866784289396,2022-02-16 13:45:00
0.9852503392079626,1.0138689519670907,0.9841310480329093,0.9871440772757861,2022-02-16 14:00:00
