OptionProfitRate,LongProfitRate,ShortProfitRate,LstmProfitRate,time
0.0,0.0019757724343042217,-0.003985657750777908,0.0,2022-02-15 09:45:00
-0.005844445721076325,0.004723823568260154,-0.006757780864491024,-0.003756132267857283,2022-02-15 10:00:00
-0.005844445721076325,0.00581066309540111,-0.007858374042998065,-0.004850165476458684,2022-02-15 10:15:00
-0.007843612188786802,0.006126724433651475,-0.008178887296297248,-0.005168766994489014,2022-02-15 10:30:00
-0.00800834349456745,0.005627974734684897,-0.007673205424206793,-0.004666101037964495,2022-02-15 10:45:00
-0.011667145276635767,0.00706061599632355,-0.009127126701640629,-0.006111346957545267,2022-02-15 11:00:00
-0.011667145276635767,0.00709218931974494,-0.00915921630653704,-0.006143244946518881,2022-02-15 11:15:00
-0.015161190355771294,0.007888344783969388,-0.009969066173423986,-0.006948256951303898,2022-02-15 11:30:00
-0.013041263593724149,0.005066359878427969,-0.0071043921180782505,-0.0041006783556626425,2022-02-15 13:15:00
-0.01875111355284213,0.00549336618646624,-0.007536812945406067,-0.00453052175213926,2022-02-15 13:30:00
-0.01875111355284213,0.005745425762215944,-0.007792243199750149,-0.004784429001839872,2022-02-15 13:45:00
-0.024479881964828924,0.00602972721321234,-0.008080502110356637,-0.0050709687022054625,2022-02-15 14:00:00
-0.023102509578893992,0.004172306686427217,-0.006200204479992544,-0.0032018765208279296,2022-02-15 14:15:00
-0.023102509578893992,0.005860505217936243,-0.00790890467284649,-0.004900394751451481,2022-02-15 14:30:00
-0.022699835488962396,0.008778517322046351,-0.010876092355159437,-0.007849860135803051,2022-02-15 14:45:00
-0.021743239050642085,0.00912364992291412,-0.01122819823389926,-0.008199859499303939,2022-02-15 15:00:00
-0.01507278710418322,0.01260981511336787,-0.01479861541839767,-0.011748874544724945,2022-02-16 09:45:00
-0.008395266745276549,0.016353559546949108,-0.018661050283157985,-0.015588071141511438,2022-02-16 10:00:00
-0.005711521565303595,0.01682377726089537,-0.01914825730558135,-0.01607234055020478,2022-02-16 10:15:00
-0.008841196053805189,0.016544818028798744,-0.018859162796098894,-0.01578498930708778,2022-02-16 10:30:00
-0.010204709789935556,0.015938514736302107,-0.018231396919701062,-0.015161007191933059,2022-02-16 10:45:00
-0.011384356764467677,0.015387052031007074,-0.017661085115715073,-0.014594130807530682,2022-02-16 11:00:00
-0.008336776642292359,0.016775212807333118,-0.019097916578295383,-0.01602230341813488,2022-02-16 11:15:00
-0.01100534160187856,0.01562943128634476,-0.017911670142035447,-0.014843206610456836,2022-02-16 11:30:00
-0.017915315980527948,0.014810987236935845,-0.017066012934111148,-0.014002641120485734,2022-02-16 13:15:00
-0.017915315980527948,0.013721522983018273,-0.015942504212185227,-0.012885890448800688,2022-02-16 13:30:00
-0.019532482290451382,0.014047934746263582,-0.01627885514912105,-0.013220218982796171,2022-02-16 13:45:00
-0.019833676834888465,0.013773658125720106,-0.01599621190217237,-0.012939275251823854,2022-02-16 14:00:00
-0.018123381630686886,0.010712295438788294,-0.01285211323324223,-0.009814049687276746,2022-02-16 14:15:00
-0.01758348700652195,0.011179005457022634,-0.013330177376374803,-0.01028924795223337,2022-02-16 14:30:00
-0.018118005479868343,0.012395159294127421,-0.014578042856223876,-0.011529626362282918,2022-02-16 14:45:00
-0.01808640644949559,0.01300829607897176,-0.01520833470658831,-0.012156132992257738,2022-02-16 15:00:00
-0.024368541943171167,0.011784359141426561,-0.013950931536108116,-0.01090627880905303,2022-02-17 09:45:00
-0.024368541943171167,0.014716408394801466,-0.016968380018251166,-0.013905595778708518,2022-02-17 10:00:00
-0.019433744837305374,0.01567969438352423,-0.017963650368005107,-0.014894873722863711,2022-02-17 10:15:00
-0.019701786807047046,0.01449335212490896,-0.016738195270229718,-0.013676796102081133,2022-02-17 10:30:00
-0.019228660245894463,0.015916685975399174,-0.01820880988374326,-0.015138556251825894,2022-02-17 10:45:00
-0.017537104034411256,0.018647112754053712,-0.021041891848553824,-0.01795454390824519,2022-02-17 11:00:00
-0.017704306418112218,0.01958543263507707,-0.022019137152713728,-0.01892588151466985,2022-02-17 11:15:00
-0.017704306418112218,0.01916726797321369,-0.02158339403152699,-0.018492773280973353,2022-02-17 11:30:00
-0.011690906113588868,0.017267614880646077,-0.019608559343430518,-0.016529865890644063,2022-02-17 13:15:00
-0.012391245297752524,0.016028893703240035,-0.018324926096544205,-0.015253972785865249,2022-02-17 13:30:00
-0.013218550849479848,0.018194679466540405,-0.020571358026533777,-0.017486852537482174,2022-02-17 13:45:00
-0.012869966966101522,0.017215402564943843,-0.01955438857783709,-0.01647602196737146,2022-02-17 14:00:00
-0.012869966966101522,0.015240363507572,-0.017509490425740584,-0.014443448959515584,2022-02-17 14:15:00
-0.013424633863759305,0.015291403087711616,-0.017562231953980743,-0.014495872915189657,2022-02-17 14:30:00
-0.013424633863759305,0.015183697871332074,-0.017450941648199648,-0.014385252702232808,2022-02-17 14:45:00
-0.014552463440993712,0.015427769797320488,-0.017703172753396577,-0.014635964986070837,2022-02-17 15:00:00
-0.014552463440993712,0.01029168540099253,-0.012421657279807272,-0.009386173047584335,2022-02-18 09:45:00
-0.016854184807107323,0.013733219512433035,-0.01595455304829017,-0.012897866849625694,2022-02-18 10:00:00
-0.014922583634433183,0.014325643026059879,-0.016565195179873773,-0.013504836782099888,2022-02-18 10:15:00
-0.014922583634433183,0.01323294072498157,-0.015439461007612388,-0.012385870668943625,2022-02-18 10:30:00
-0.015925207144937673,0.013052600474821537,-0.015253909075417384,-0.012201433572074065,2022-02-18 10:45:00
