OptionProfitRate,LongProfitRate,time
0.0,0.0029733009154128006,2022-02-15 09:45:00
-0.005844445721076325,0.005718615914375629,2022-02-15 10:00:00
-0.005844445721076325,0.0068043753859163844,2022-02-15 10:15:00
-0.007843612188786802,0.007120122855682285,2022-02-15 10:30:00
-0.00800834349456745,0.006621868491259219,2022-02-15 10:45:00
-0.011667145276635767,0.008053087585016867,2022-02-15 11:00:00
-0.011667145276635767,0.00808462958885024,2022-02-15 11:15:00
-0.015161190355771294,0.008879995622268632,2022-02-15 11:30:00
-0.013041263593724149,0.006060811699743018,2022-02-15 13:15:00
-0.01875111355284213,0.006487393672164585,2022-02-15 13:30:00
-0.01875111355284213,0.0067392028497831585,2022-02-15 13:45:00
-0.024479881964828924,0.007023221948950919,2022-02-15 14:00:00
-0.023102509578893992,0.005167647555607714,2022-02-15 14:15:00
-0.023102509578893992,0.006854168005554722,2022-02-15 14:30:00
-0.022699835488962396,0.009769286249737703,2022-02-15 14:45:00
-0.021743239050642085,0.010114077132201806,2022-02-15 15:00:00
-0.01507278710418322,0.013596797241705611,2022-02-16 09:45:00
-0.008395266745276549,0.01733685538705107,2022-02-16 10:00:00
-0.005711521565303595,0.0178066110736489,2022-02-16 10:15:00
-0.008841196053805189,0.017527925915618456,2022-02-16 10:30:00
-0.010204709789935556,0.01692221857223724,2022-02-16 10:45:00
-0.011384356764467677,0.016371298225575114,2022-02-16 11:00:00
-0.008336776642292359,0.017758094328583218,2022-02-16 11:15:00
-0.01100534160187856,0.016613439066282015,2022-02-16 11:30:00
-0.017915315980527948,0.015795800305249828,2022-02-16 13:15:00
-0.017915315980527948,0.014707409025630114,2022-02-16 13:30:00
-0.019532482290451382,0.01503349919509034,2022-02-16 13:45:00
-0.019833676834888465,0.014759492795689106,2022-02-16 14:00:00
-0.018123381630686886,0.011701151236564733,2022-02-16 14:15:00
-0.01758348700652195,0.012167400081518448,2022-02-16 14:30:00
-0.018118005479868343,0.013382353202111778,2022-02-16 14:45:00
-0.01808640644949559,0.013994885185974715,2022-02-16 15:00:00
-0.024368541943171167,0.012772155913985074,2022-02-17 09:45:00
-0.024368541943171167,0.015701314564144545,2022-02-17 10:00:00
-0.019433744837305374,0.01666365272974991,2022-02-17 10:15:00
-0.019701786807047046,0.01547847790006431,2022-02-17 10:30:00
-0.019228660245894463,0.016900411274046068,2022-02-17 10:45:00
-0.017537104034411256,0.019628157041726452,2022-02-17 11:00:00
-0.017704306418112218,0.02056555727189242,2022-02-17 11:15:00
-0.017704306418112218,0.020147802348307584,2022-02-17 11:30:00
-0.011690906113588868,0.018250012785722997,2022-02-17 13:15:00
-0.012391245297752524,0.017012508680764815,2022-02-17 13:30:00
-0.013218550849479848,0.019176167493929953,2022-02-17 13:45:00
-0.012869966966101522,0.01819785173944028,2022-02-17 14:00:00
-0.012869966966101522,0.016224754019306925,2022-02-17 14:15:00
-0.013424633863759305,0.016275743382569378,2022-02-17 14:30:00
-0.013424633863759305,0.016168144138313596,2022-02-17 14:45:00
-0.014552463440993712,0.016411975936112464,2022-02-17 15:00:00
-0.014552463440993712,0.011280957003220425,2022-02-18 09:45:00
-0.016854184807107323,0.014719094029349815,2022-02-18 10:00:00
-0.014922583634433183,0.01531093394825348,2022-02-18 10:15:00
-0.014922583634433183,0.014219308334173484,2022-02-18 10:30:00
-0.015925207144937673,0.014039145894112136,2022-02-18 10:45:00
-0.020224823970198785,0.014522248410495158,2022-02-18 11:00:00
-0.020224823970198785,0.013521515246418597,2022-02-18 11:15:00
-0.020663843930971364,0.013507823062909024,2022-02-18 11:30:00
-0.020285633834237413,0.01702835502767687,2022-02-18 13:15:00
-0.020541629963496774,0.01699178283442237,2022-02-18 13:30:00
-0.020541629963496774,0.01799235085154686,2022-02-18 13:45:00
-0.021105790579595073,0.017322977937256095,2022-02-18 14:00:00
-0.023401835273784942,0.01784587145636408,2022-02-18 14:15:00
-0.023401835273784942,0.018245312149817377,2022-02-18 14:30:00
-0.022757982434645517,0.019960740479411265,2022-02-18 14:45:00
-0.021213198744435453,0.021168439007988288,2022-02-18 15:00:00
-0.03749982617954732,0.016802013421825444,2022-02-21 09:45:00
-0.03749982617954732,0.015953451212822323,2022-02-21 10:00:00
-0.0407236544679257,0.016717902249956205,2022-02-21 10:15:00
-0.0407236544679257,0.015293676278110608,2022-02-21 10:30:00
-0.04432360554001586,0.015257473130175909,2022-02-21 10:45:00
-0.04432360554001586,0.013934185931629013,2022-02-21 11:00:00
-0.04574261271922284,0.014280683029293273,2022-02-21 11:15:00
-0.046349112580847535,0.014830202937149529,2022-02-21 11:30:00
-0.04604871435726017,0.01642539079274685,2022-02-21 13:15:00
-0.04604871435726017,0.017222463193550364,2022-02-21 13:30:00
-0.04686625862050745,0.015604593076597418,2022-02-21 13:45:00
-0.04686625862050745,0.014097825123838361,2022-02-21 14:00:00
-0.047095924045869486,0.013665185209206157,2022-02-21 14:15:00
-0.04995707605667325,0.01497693000116778,2022-02-21 14:30:00
-0.04905551627363252,0.01647552749627938,2022-02-21 14:45:00
-0.04905551627363252,0.0175236966039813,2022-02-21 15:00:00
0.005246786813648686,0.006340593893968249,2022-02-22 09:45:00
0.028714234936339657,0.00042212865899329225,2022-02-22 10:00:00
0.02455658141847977,0.0012184120625756431,2022-02-22 10:15:00
0.026150094756991,0.000678256558770317,2022-02-22 10:30:00
0.0256236962947576,0.0008195926329846616,2022-02-22 10:45:00
0.019390347077991796,0.0027903561993178326,2022-02-22 11:00:00
0.0203652582104454,0.0024618256654620704,2022-02-22 11:15:00
