code,high,low,open,close,avg,vol,amount,time
16,2301.0552,2285.2934,2298.1805,2284.8697,2293.2827466666663,2712844.0,4650318398.0,2019-01-02 09:45:00
16,2284.8697,2264.9819,2284.8697,2265.5576,2273.60262,2971570.0,3758094544.0,2019-01-02 10:00:00
16,2268.5106,2260.283,2265.5576,2266.0409,2264.520713333333,1777498.0,2452067270.0,2019-01-02 10:15:00
16,2267.1754,2263.1318,2266.0409,2265.6532,2265.1671533333333,1170155.0,1560894569.0,2019-01-02 10:30:00
16,2265.6704,2259.3226,2265.6532,2264.832,2262.8207666666667,1233213.0,1766453738.0,2019-01-02 10:45:00
16,2268.8284,2264.2767,2264.832,2265.2439,2265.9938000000006,849215.0,1245400784.0,2019-01-02 11:00:00
16,2266.2486,2260.8482,2265.2439,2264.4769,2263.1033733333334,906372.0,1194081699.0,2019-01-02 11:15:00
16,2265.7091,2262.7815,2264.4769,2264.6813,2264.232206666667,583021.0,803072403.0,2019-01-02 11:30:00
16,2265.419,2260.9802,2264.6813,2259.8416,2262.54672,873386.0,1041941306.0,2019-01-02 13:15:00
16,2260.3295,2256.2162,2259.8416,2257.4288,2258.1099799999997,933735.0,1220692975.0,2019-01-02 13:30:00
16,2260.4363,2252.7748,2257.4288,2258.6304,2256.9546066666667,931178.0,1245110738.0,2019-01-02 13:45:00
16,2258.8986,2252.811,2258.6304,2253.7087,2256.4085,932643.0,1156912602.0,2019-01-02 14:00:00
16,2261.8219,2252.7479,2253.7087,2261.2859,2258.1855533333337,1209435.0,1517367659.0,2019-01-02 14:15:00
16,2266.2905,2260.6749,2261.2859,2266.2448,2262.69642,1083750.0,1330530729.0,2019-01-02 14:30:00
16,2267.4775,2262.5079,2266.2448,2263.5709,2265.049833333333,1218152.0,1426023045.0,2019-01-02 14:45:00
16,2264.4652,2261.511,2263.5709,2262.7908,2262.8017200000004,1493825.0,1749483120.0,2019-01-02 15:00:00
16,2264.1631,2254.0518,2259.4825,2260.0555,2259.818706666667,1902101.0,2793989118.0,2019-01-03 09:45:00
16,2277.082,2259.7066,2260.0555,2275.0466,2271.43662,2185610.0,2976617078.0,2019-01-03 10:00:00
16,2287.7778,2275.0466,2275.0466,2283.6713,2283.3127866666664,2365612.0,3099055126.0,2019-01-03 10:15:00
16,2283.6713,2273.7359,2283.6713,2275.4842,2276.7555933333333,1181925.0,1693621826.0,2019-01-03 10:30:00
16,2277.0671,2272.3546,2275.4842,2273.876,2274.6796600000002,910439.0,1331080440.0,2019-01-03 10:45:00
16,2275.6126,2268.151,2273.876,2268.9608,2270.9764666666665,950585.0,1254267487.0,2019-01-03 11:00:00
16,2269.847,2263.2869,2268.9608,2265.2767,2266.0931533333337,1001029.0,1365725364.0,2019-01-03 11:15:00
16,2267.2182,2261.5947,2265.2767,2266.1272,2264.5913199999995,733090.0,988427186.0,2019-01-03 11:30:00
16,2267.6659,2262.7495,2266.1272,2263.5166,2265.4305866666664,708066.0,881429628.0,2019-01-03 13:15:00
16,2266.5281,2259.9938,2263.5166,2266.65,2262.1329199999996,853328.0,1104643820.0,2019-01-03 13:30:00
16,2267.5988,2263.244,2266.65,2263.9292,2264.831006666667,808509.0,994227598.0,2019-01-03 13:45:00
16,2269.2279,2263.425,2263.9292,2268.3911,2266.5073666666663,937876.0,1030455935.0,2019-01-03 14:00:00
16,2268.7663,2263.8155,2268.3911,2263.5505,2266.09278,890871.0,943796530.0,2019-01-03 14:15:00
