code,high,low,open,close,avg,vol,amount,time
905,6271.958,6258.237,6263.151,6258.794,6264.3696,8775049.0,10515634486.0,2018-01-02 09:45:00
905,6275.6,6258.794,6258.794,6272.013,6271.255399999999,7321147.0,8840184726.0,2018-01-02 10:00:00
905,6276.63,6265.896,6272.013,6276.732,6269.9646,5406765.0,6225020217.0,2018-01-02 10:15:00
905,6289.902,6276.732,6276.732,6289.073,6285.775333333334,4486596.0,5596238475.0,2018-01-02 10:30:00
905,6291.249,6284.024,6289.073,6290.321,6287.788666666665,3741466.0,4590691674.0,2018-01-02 10:45:00
905,6300.218,6290.097,6290.321,6299.207,6296.441133333333,3751458.0,4701567590.0,2018-01-02 11:00:00
905,6307.119,6296.367,6299.207,6305.404,6301.032933333334,3616820.0,4351338306.0,2018-01-02 11:15:00
905,6310.021,6301.626,6305.404,6302.677,6305.454266666667,3289626.0,3853377414.0,2018-01-02 11:30:00
905,6307.715,6302.677,6302.677,6307.089,6305.861933333334,3161462.0,3898563820.0,2018-01-02 13:15:00
905,6315.563,6307.029,6307.089,6314.922,6310.238399999999,3697159.0,4371411655.0,2018-01-02 13:30:00
905,6322.851,6314.825,6314.922,6320.031,6318.649933333334,4168314.0,4898972038.0,2018-01-02 13:45:00
905,6320.858,6314.229,6320.031,6314.19,6316.089866666666,3646277.0,4335868958.0,2018-01-02 14:00:00
905,6316.637,6310.323,6314.19,6312.638,6313.391999999999,3147125.0,3833437577.0,2018-01-02 14:15:00
905,6323.375,6310.241,6312.638,6322.879,6318.5091999999995,3810442.0,4762365864.0,2018-01-02 14:30:00
905,6323.813,6319.598,6322.879,6323.629,6321.685533333333,4133980.0,4942373209.0,2018-01-02 14:45:00
905,6332.033,6323.629,6323.629,6332.609,6328.877799999999,6861833.0,8414392881.0,2018-01-02 15:00:00
905,6340.083,6324.26,6331.72,6338.678,6333.521933333335,9535037.0,12669970821.0,2018-01-03 09:45:00
905,6346.587,6337.78,6338.678,6342.043,6342.127666666666,7785122.0,9751907391.0,2018-01-03 10:00:00
905,6356.1,6339.304,6342.043,6354.36,6349.128333333335,8055442.0,9158013949.0,2018-01-03 10:15:00
