ProfitRate,Time
1.013583465,2022-03-01 10:45
1.013546097,2022-03-01 11:00
1.014336845,2022-03-01 11:15
1.013900434,2022-03-01 11:30
1.013884059,2022-03-01 13:15
1.01401516,2022-03-01 13:30
1.014628167,2022-03-01 13:45
1.014559424,2022-03-01 14:00
1.015585418,2022-03-01 14:15
1.022421178,2022-03-01 14:30
1.02453464,2022-03-01 14:45
1.022975171,2022-03-01 15:00
1.017537607,2022-03-02 09:45
1.016068775,2022-03-02 10:00
1.015916801,2022-03-02 10:15
1.016017203,2022-03-02 10:30
1.016245784,2022-03-02 10:45
1.016730483,2022-03-02 11:00
1.015920914,2022-03-02 11:15
1.0158781,2022-03-02 11:30
1.014617699,2022-03-02 13:15
1.014556479,2022-03-02 13:30
1.014559839,2022-03-02 13:45
1.014553491,2022-03-02 14:00
1.014622491,2022-03-02 14:15
1.015380435,2022-03-02 14:30
1.015825624,2022-03-02 14:45
1.015301903,2022-03-02 15:00
1.005782206,2022-03-03 09:45
1.005383694,2022-03-03 10:00
1.005305096,2022-03-03 10:15
1.005396282,2022-03-03 10:30
1.004774413,2022-03-03 10:45
1.004935453,2022-03-03 11:00
1.003402063,2022-03-03 11:15
1.003328344,2022-03-03 11:30
0.991561147,2022-03-03 13:15
0.991561147,2022-03-03 13:30
0.991731997,2022-03-03 13:45
0.991770003,2022-03-03 14:00
0.990195278,2022-03-03 14:15
0.989277148,2022-03-03 14:30
0.986899526,2022-03-03 14:45
0.985357236,2022-03-03 15:00
1.002963675,2022-03-04 09:45
1.002881067,2022-03-04 10:00
0.998714647,2022-03-04 10:15
0.999519035,2022-03-04 10:30
0.999872961,2022-03-04 10:45
0.999863358,2022-03-04 11:00
0.998974807,2022-03-04 11:15
1.000070859,2022-03-04 11:30
1.005580989,2022-03-04 13:15
1.005283933,2022-03-04 13:30
1.004510664,2022-03-04 13:45
1.00469658,2022-03-04 14:00
1.00359484,2022-03-04 14:15
1.00381505,2022-03-04 14:30
1.004178181,2022-03-04 14:45
1.00342763,2022-03-04 15:00
1.045928251,2022-03-07 09:45
1.057115476,2022-03-07 10:00
1.054400119,2022-03-07 10:15
1.050591927,2022-03-07 10:30
1.053047759,2022-03-07 10:45
1.054367413,2022-03-07 11:00
1.060407452,2022-03-07 11:15
1.056421933,2022-03-07 11:30
1.058830665,2022-03-07 13:15
1.059524942,2022-03-07 13:30
1.063601911,2022-03-07 13:45
1.066799022,2022-03-07 14:00
1.067785163,2022-03-07 14:15
1.074138442,2022-03-07 14:30
1.083558608,2022-03-07 14:45
1.075855766,2022-03-07 15:00
1.053396827,2022-03-08 09:45
1.063677754,2022-03-08 10:00
1.070987531,2022-03-08 10:15
1.073319011,2022-03-08 10:30
1.072760016,2022-03-08 10:45
1.083621691,2022-03-08 11:00
1.095643276,2022-03-08 11:15
1.098515349,2022-03-08 11:30
1.084949247,2022-03-08 13:15
1.09347262,2022-03-08 13:30
1.084611855,2022-03-08 13:45
1.083941406,2022-03-08 14:00
1.083941406,2022-03-08 14:15
1.083941406,2022-03-08 14:30
1.083941406,2022-03-08 14:45
1.083941406,2022-03-08 15:00
1.083941406,2022-03-09 09:45
1.083941406,2022-03-09 10:00
1.083941406,2022-03-09 10:15
1.083941406,2022-03-09 10:30
1.083941406,2022-03-09 10:45
1.083941406,2022-03-09 11:00
1.083941406,2022-03-09 11:15
1.083941406,2022-03-09 11:30
1.083941406,2022-03-09 13:15
1.083941406,2022-03-09 13:30
1.083941406,2022-03-09 13:45
1.083941406,2022-03-09 14:00
1.083941406,2022-03-09 14:15
1.083941406,2022-03-09 14:30
1.083941406,2022-03-09 14:45
1.083941406,2022-03-09 15:00
1.083941406,2022-03-10 09:45
1.083941406,2022-03-10 10:00
1.083941406,2022-03-10 10:15
1.083941406,2022-03-10 10:30
1.083941406,2022-03-10 10:45
1.083941406,2022-03-10 11:00
1.083941406,2022-03-10 11:15
1.083941406,2022-03-10 11:30
1.083941406,2022-03-10 13:15
1.083941406,2022-03-10 13:30
1.083941406,2022-03-10 13:45
1.083941406,2022-03-10 14:00
1.083941406,2022-03-10 14:15
1.083941406,2022-03-10 14:30
1.083941406,2022-03-10 14:45
1.083941406,2022-03-10 15:00
1.083941406,2022-03-11 09:45
1.083941406,2022-03-11 10:00
1.083941406,2022-03-11 10:15
1.083941406,2022-03-11 10:30
1.083941406,2022-03-11 10:45
1.083941406,2022-03-11 11:00
1.083941406,2022-03-11 11:15
1.083941406,2022-03-11 11:30
1.083941406,2022-03-11 13:15
1.083941406,2022-03-11 13:30
1.083941406,2022-03-11 13:45
1.083941406,2022-03-11 14:00
1.083941406,2022-03-11 14:15
1.083941406,2022-03-11 14:30
1.083941406,2022-03-11 14:45
1.083941406,2022-03-11 15:00
1.083941406,2022-03-14 09:45
1.083941406,2022-03-14 10:00
1.083941406,2022-03-14 10:15
1.083941406,2022-03-14 10:30
1.083941406,2022-03-14 10:45
1.083941406,2022-03-14 11:00
1.083941406,2022-03-14 11:15
1.083941406,2022-03-14 11:30
1.083941406,2022-03-14 13:15
1.083941406,2022-03-14 13:30
1.083941406,2022-03-14 13:45
1.083941406,2022-03-14 14:00
1.083941406,2022-03-14 14:15
1.083941406,2022-03-14 14:30
1.083941406,2022-03-14 14:45
1.083941406,2022-03-14 15:00
1.083941406,2022-03-15 09:45
1.083941406,2022-03-15 10:00
1.083941406,2022-03-15 10:15
1.083941406,2022-03-15 10:30
1.083941406,2022-03-15 10:45
1.083941406,2022-03-15 11:00
1.083941406,2022-03-15 11:15
1.083941406,2022-03-15 11:30
1.083941406,2022-03-15 13:15
1.083941406,2022-03-15 13:30
1.083941406,2022-03-15 13:45
1.083941406,2022-03-15 14:00
1.083941406,2022-03-15 14:15
1.083941406,2022-03-15 14:30
1.083941406,2022-03-15 14:45
1.083941406,2022-03-15 15:00
1.083941406,2022-03-16 09:45
1.083941406,2022-03-16 10:00
1.083941406,2022-03-16 10:15
1.083941406,2022-03-16 10:30
1.083941406,2022-03-16 10:45
1.083941406,2022-03-16 11:00
1.083941406,2022-03-16 11:15
1.083941406,2022-03-16 11:30
1.083941406,2022-03-16 13:15
1.083941406,2022-03-16 13:30
1.083941406,2022-03-16 13:45
1.083941406,2022-03-16 14:00
1.083941406,2022-03-16 14:15
1.083941406,2022-03-16 14:30
1.083941406,2022-03-16 14:45
1.083941406,2022-03-16 15:00
1.083941406,2022-03-17 09:45
1.083941406,2022-03-17 10:00
1.083941406,2022-03-17 10:15
1.083941406,2022-03-17 10:30
1.083941406,2022-03-17 10:45
1.083941406,2022-03-17 11:00
1.083941406,2022-03-17 11:15
1.083941406,2022-03-17 11:30
1.083941406,2022-03-17 13:15
1.083941406,2022-03-17 13:30
1.083941406,2022-03-17 13:45
1.083941406,2022-03-17 14:00
1.083941406,2022-03-17 14:15
1.083941406,2022-03-17 14:30
1.083941406,2022-03-17 14:45
1.083941406,2022-03-17 15:00
1.083941406,2022-03-18 09:45
1.083941406,2022-03-18 10:00
1.083941406,2022-03-18 10:15
1.083941406,2022-03-18 10:30
1.083941406,2022-03-18 10:45
1.083941406,2022-03-18 11:00
1.083941406,2022-03-18 11:15
1.083941406,2022-03-18 11:30
1.083941406,2022-03-18 13:15
1.083941406,2022-03-18 13:30
1.083941406,2022-03-18 13:45
1.083941406,2022-03-18 14:00
1.083941406,2022-03-18 14:15
1.083941406,2022-03-18 14:30
1.083941406,2022-03-18 14:45
1.083941406,2022-03-18 15:00
1.083941406,2022-03-21 09:45
1.083941406,2022-03-21 10:00
1.083941406,2022-03-21 10:15
1.083941406,2022-03-21 10:30
1.083941406,2022-03-21 10:45
1.083941406,2022-03-21 11:00
1.083941406,2022-03-21 11:15
1.083941406,2022-03-21 11:30
1.083941406,2022-03-21 13:15
1.083941406,2022-03-21 13:30
1.083941406,2022-03-21 13:45
1.083941406,2022-03-21 14:00
1.083941406,2022-03-21 14:15
1.083941406,2022-03-21 14:30
1.083941406,2022-03-21 14:45
1.083941406,2022-03-21 15:00
1.083941406,2022-03-22 09:45
1.083941406,2022-03-22 10:00
1.083941406,2022-03-22 10:15
1.083941406,2022-03-22 10:30
1.083941406,2022-03-22 10:45
1.083941406,2022-03-22 11:00
1.083941406,2022-03-22 11:15
1.083941406,2022-03-22 11:30
1.083941406,2022-03-22 13:15
1.083941406,2022-03-22 13:30
1.083941406,2022-03-22 13:45
1.083941406,2022-03-22 14:00
1.083941406,2022-03-22 14:15
