code,high,low,open,close,avg,vol,amount,time
300,4961.4527,4921.7,4957.9835,4925.6111,4931.568599999999,25206206,58554375565.0,2022-01-04 09:45:00
300,4927.0415,4906.7404,4925.6111,4906.2299,4915.63262,14089091,32386455123.0,2022-01-04 10:00:00
300,4911.3437,4880.7826,4906.2299,4883.3026,4896.398113333334,13768101,31531088557.0,2022-01-04 10:15:00
300,4889.9658,4877.2592,4883.3026,4881.6647,4884.776379999999,9724931,22736305414.0,2022-01-04 10:30:00
300,4882.4676,4874.5337,4881.6647,4878.0966,4877.518846666668,7809286,19480799875.0,2022-01-04 10:45:00
300,4890.2727,4875.2215,4878.0966,4890.4731,4883.712413333333,7620713,15806686739.099998,2022-01-04 11:00:00
300,4890.9501,4881.3646,4890.4731,4883.0124,4884.143566666667,6686894,14636885041.8,2022-01-04 11:15:00
300,4899.8945,4882.8915,4883.0124,4899.3607,4890.98816,5535680,11570908680.599997,2022-01-04 11:30:00
300,4908.6056,4899.2976,4899.3607,4907.2913,4904.261113333333,8296434,15976024876.500002,2022-01-04 13:15:00
300,4918.662,4907.2913,4907.2913,4912.5912,4913.637733333334,7761549,16514332699.4,2022-01-04 13:30:00
300,4922.0933,4911.5204,4912.5912,4921.8436,4914.380073333334,6798757,15264552903.3,2022-01-04 13:45:00
300,4924.2857,4920.1299,4921.8436,4920.0348,4921.749906666667,7206346,15382098072.5,2022-01-04 14:00:00
300,4920.8803,4911.9277,4920.0348,4912.2698,4915.482839999999,6275224,13918185714.700003,2022-01-04 14:15:00
300,4914.5861,4910.4125,4912.2698,4911.2895,4912.386126666667,6265890,14665211962.499998,2022-01-04 14:30:00
300,4915.9591,4911.0073,4911.2895,4912.3913,4913.981246666666,8065459,18028606242.0,2022-01-04 14:45:00
300,4918.4685,4912.1073,4912.3913,4917.7653,4916.378500000001,10405942,20020600776.3,2022-01-04 15:00:00
300,4909.689,4890.619,4907.9347,4907.0161,4900.7769733333325,24402152,51390047615.0,2022-01-05 09:45:00
300,4913.2719,4889.2762,4907.0161,4888.6684,4902.784926666666,18302691,37008701264.0,2022-01-05 10:00:00
300,4894.0901,4881.1663,4888.6684,4890.2164,4888.809626666667,15373491,30120912270.0,2022-01-05 10:15:00
300,4893.2321,4878.4107,4890.2164,4878.9294,4886.526379999999,12143424,24639340025.0,2022-01-05 10:30:00
300,4897.9967,4876.5442,4878.9294,4896.4878,4891.304253333334,13261288,24057947001.0,2022-01-05 10:45:00
