code,high,low,open,close,avg,vol,amount,time
300,5221.2849,5190.9995,5212.9313,5221.2382,5206.374666666667,37252546.0,79898938213.0,2021-01-04 09:45:00
300,5225.8098,5212.8341,5221.2382,5222.5432,5220.76078,21585808.0,46554903213.0,2021-01-04 10:00:00
300,5230.7128,5219.3048,5222.5432,5219.4547,5226.335513333333,16543487.0,36759828335.0,2021-01-04 10:15:00
300,5231.3879,5219.4547,5219.4547,5230.1209,5226.055346666665,13504535.0,27029503790.0,2021-01-04 10:30:00
300,5236.9216,5225.2691,5230.1209,5232.978,5230.82326,13992740.0,28235963770.0,2021-01-04 10:45:00
300,5241.3441,5226.8929,5232.978,5238.5198,5232.368866666667,10048281.0,21315102530.0,2021-01-04 11:00:00
300,5254.5198,5235.8827,5238.5198,5254.267,5247.031866666667,8612636.0,19276167733.0,2021-01-04 11:15:00
300,5273.6899,5251.6186,5254.267,5274.7258,5260.714613333333,10117639.0,19295305019.0,2021-01-04 11:30:00
300,5284.4267,5268.8142,5274.7258,5269.7398,5278.394020000001,13102090.0,27038582944.0,2021-01-04 13:15:00
300,5276.0367,5262.4632,5269.7398,5263.6163,5270.280526666667,10339494.0,21235354469.0,2021-01-04 13:30:00
300,5265.7879,5253.0844,5263.6163,5262.9633,5259.179173333335,9046031.0,19614270775.0,2021-01-04 13:45:00
300,5267.033,5256.6149,5262.9633,5264.4761,5262.527726666665,7906248.0,17890412405.0,2021-01-04 14:00:00
300,5269.6381,5259.5385,5264.4761,5269.022,5265.207693333333,8119793.0,19026494642.0,2021-01-04 14:15:00
300,5277.5309,5267.3813,5269.022,5274.8786,5273.481686666667,9100830.0,21471697029.0,2021-01-04 14:30:00
300,5281.2863,5273.9194,5274.8786,5276.0065,5276.781826666666,9906808.0,21792428318.0,2021-01-04 14:45:00
300,5276.0065,5266.991,5276.0065,5267.7181,5269.901113333334,12487693.0,26268280358.5,2021-01-04 15:00:00
300,5282.2709,5234.3838,5245.8355,5278.1943,5263.78718,32830183.0,77715776081.0,2021-01-05 09:45:00
300,5285.222,5270.8748,5278.1943,5285.3975,5278.391946666667,25172483.0,53672516904.0,2021-01-05 10:00:00
300,5312.5267,5280.9576,5285.3975,5312.4496,5298.8698533333345,17632964.0,42610075416.0,2021-01-05 10:15:00
300,5312.4496,5291.018,5312.4496,5295.0603,5299.30704,14092011.0,34209241689.0,2021-01-05 10:30:00
300,5305.5409,5295.0603,5295.0603,5306.4497,5299.615686666667,11762364.0,27152088981.0,2021-01-05 10:45:00
300,5315.2646,5277.4241,5306.4497,5277.4244,5298.061679999999,15687018.0,30206605429.0,2021-01-05 11:00:00
300,5284.8789,5270.4269,5277.4244,5274.1619,5279.338353333332,10611662.0,23217575358.0,2021-01-05 11:15:00
300,5300.4907,5272.8882,5274.1619,5300.4455,5285.6342933333335,10274580.0,19628376996.4,2021-01-05 11:30:00
300,5319.8615,5294.8745,5300.4455,5319.8235,5310.692553333332,9755719.0,22430558136.0,2021-01-05 13:15:00
300,5327.3339,5316.5789,5319.8235,5327.415,5323.746726666666,9020256.0,20907697702.0,2021-01-05 13:30:00
300,5331.3425,5319.1095,5327.415,5329.9148,5325.533086666665,9226909.0,21412558365.0,2021-01-05 13:45:00
300,5348.7884,5328.0444,5329.9148,5347.0953,5338.14324,10563273.0,22570074695.0,2021-01-05 14:00:00
300,5352.0519,5340.6857,5347.0953,5343.8398,5345.6322266666675,11048626.0,23116119106.0,2021-01-05 14:15:00
300,5363.1999,5343.4657,5343.8398,5362.8762,5355.385160000002,10823522.0,24262177722.0,2021-01-05 14:30:00
300,5367.6665,5355.3987,5362.8762,5366.6645,5362.013273333333,11301368.0,24199638389.0,2021-01-05 14:45:00
300,5367.259,5359.8609,5366.6645,5368.5049,5363.6883400000015,15083030.0,30619733934.3,2021-01-05 15:00:00
300,5433.4694,5385.3578,5386.5144,5424.2244,5412.613440000001,37289133.0,89822938569.0,2021-01-06 09:45:00
300,5432.3401,5376.7294,5424.2244,5383.1199,5405.980746666667,22059896.0,53966525783.0,2021-01-06 10:00:00
300,5400.8603,5378.5645,5383.1199,5394.6319,5389.551313333333,16276447.0,36749285914.0,2021-01-06 10:15:00
300,5403.9789,5379.4975,5394.6319,5403.9095,5390.366059999999,11205111.0,27010358800.0,2021-01-06 10:30:00
300,5406.8256,5383.5593,5403.9095,5384.7051,5395.945680000002,14023081.0,24220273691.0,2021-01-06 10:45:00
300,5385.131,5342.0349,5384.7051,5342.0349,5363.367326666666,11165692.0,25062725418.0,2021-01-06 11:00:00
300,5378.0842,5341.4304,5342.0349,5374.1402,5365.994886666666,8048388.0,17930206562.2,2021-01-06 11:15:00
300,5374.2526,5356.1105,5374.1402,5356.9714,5362.669373333333,6056494.0,14325088742.2,2021-01-06 11:30:00
300,5378.7256,5353.6588,5356.9714,5374.9081,5369.214933333335,7406529.0,17819326657.8,2021-01-06 13:15:00
300,5381.6251,5364.7356,5374.9081,5381.8859,5372.820746666666,8117721.0,19341158744.0,2021-01-06 13:30:00
300,5393.6018,5374.0305,5381.8859,5390.9751,5383.940953333334,8045100.0,18507977368.0,2021-01-06 13:45:00
300,5398.299,5385.765,5390.9751,5386.0956,5391.56396,8841246.0,18733452223.0,2021-01-06 14:00:00
300,5390.0157,5374.0426,5386.0956,5384.5296,5382.271293333333,7272427.0,16526992716.5,2021-01-06 14:15:00
300,5393.2721,5383.1361,5384.5296,5393.567,5387.6085533333335,6402564.0,15926040328.300001,2021-01-06 14:30:00
300,5409.2157,5393.567,5393.567,5408.8327,5402.773300000001,8676912.0,19753541533.0,2021-01-06 14:45:00
300,5415.0785,5404.8316,5408.8327,5417.6677,5410.678639999999,12863777.0,28677690766.2,2021-01-06 15:00:00
300,5440.4029,5415.7201,5428.3944,5435.6593,5430.322413333333,35001684.0,72630405778.0,2021-01-07 09:45:00
300,5455.5175,5435.6593,5435.6593,5450.2415,5448.302253333333,25932065.0,49787272989.0,2021-01-07 10:00:00
300,5452.7301,5422.8862,5450.2415,5423.5856,5434.615466666667,17161749.0,35997681546.0,2021-01-07 10:15:00
300,5430.6134,5413.7121,5423.5856,5429.1307,5424.0551466666675,11173749.0,24934558028.0,2021-01-07 10:30:00
300,5447.8342,5423.6117,5429.1307,5446.0175,5436.862606666667,10944296.0,23307764493.0,2021-01-07 10:45:00
300,5460.4948,5445.1487,5446.0175,5455.6656,5452.522979999999,10417577.0,22565841298.0,2021-01-07 11:00:00
300,5458.5791,5446.7294,5455.6656,5458.5512,5452.90886,8384838.0,20326905032.0,2021-01-07 11:15:00
300,5474.8619,5458.2687,5458.5512,5472.3751,5468.200066666667,8816338.0,20963228853.0,2021-01-07 11:30:00
300,5481.6368,5470.7944,5472.3751,5474.4325,5476.69274,10399064.0,25459849306.0,2021-01-07 13:15:00
300,5474.5823,5449.9762,5474.4325,5451.9592,5464.09472,10936599.0,24398512457.0,2021-01-07 13:30:00
300,5453.3942,5415.0008,5451.9592,5423.6433,5431.36006,13768176.0,29186079908.0,2021-01-07 13:45:00
300,5437.3384,5421.0873,5423.6433,5432.9468,5430.085986666667,9378104.0,19813885348.0,2021-01-07 14:00:00
300,5436.2667,5419.1281,5432.9468,5422.3844,5430.436999999999,9470409.0,19564963670.0,2021-01-07 14:15:00
300,5456.967,5422.2854,5422.3844,5457.9527,5445.161206666668,8551360.0,20377456906.0,2021-01-07 14:30:00
300,5489.1012,5457.7204,5457.9527,5475.0637,5477.975740000001,12945140.0,28257574146.0,2021-01-07 14:45:00
300,5510.5788,5475.0031,5475.0637,5513.6568,5497.399706666667,16534437.0,35646437989.5,2021-01-07 15:00:00
300,5547.4733,5486.2784,5526.2876,5494.5143,5517.270073333333,44120995.0,94040769713.0,2021-01-08 09:45:00
300,5510.1624,5478.0319,5494.5143,5506.7244,5496.3896066666675,26537263.0,58563772802.0,2021-01-08 10:00:00
300,5506.7244,5482.0719,5506.7244,5481.7755,5492.529573333333,15883797.0,38010233360.0,2021-01-08 10:15:00
300,5512.3246,5476.1422,5481.7755,5505.533,5496.702799999999,12370725.0,29108424642.0,2021-01-08 10:30:00
300,5516.0089,5500.3447,5505.533,5517.9525,5510.138373333333,10907216.0,25559535779.0,2021-01-08 10:45:00
300,5518.4495,5485.7702,5517.9525,5485.7702,5507.46368,8852886.0,20222585331.0,2021-01-08 11:00:00
300,5492.3139,5468.8955,5485.7702,5468.8955,5485.75764,8256410.0,19171389827.0,2021-01-08 11:15:00
300,5478.8032,5457.4315,5468.8955,5458.0569,5470.479806666668,6144711.0,16253876862.6,2021-01-08 11:30:00
300,5474.8719,5444.7729,5458.0569,5469.474,5459.790893333333,7917966.0,22570112189.0,2021-01-08 13:15:00
300,5475.6854,5457.5347,5469.474,5472.7098,5468.545266666667,7598367.0,18083426916.0,2021-01-08 13:30:00
300,5482.0484,5460.2778,5472.7098,5459.843,5472.637313333334,7524548.0,18059199304.9,2021-01-08 13:45:00
300,5462.6953,5452.8223,5459.843,5460.0732,5458.756513333333,7399593.0,18814017498.0,2021-01-08 14:00:00
300,5460.4403,5443.618,5460.0732,5447.1598,5453.998426666666,7869007.0,19617920571.0,2021-01-08 14:15:00
300,5478.0899,5442.6939,5447.1598,5478.6371,5464.247520000001,8812860.0,22311371729.0,2021-01-08 14:30:00
300,5492.2102,5478.6371,5478.6371,5482.535,5488.1722,10297560.0,24198336861.0,2021-01-08 14:45:00
300,5490.8373,5479.7933,5482.535,5495.4306,5485.81322,13786429.0,28883175212.6,2021-01-08 15:00:00
300,5504.2358,5464.0208,5504.2358,5463.2281,5478.014126666665,42397819.0,96336935175.0,2021-01-11 09:45:00
300,5517.3213,5462.5415,5463.2281,5517.3844,5502.434893333334,24579141.0,57035131604.0,2021-01-11 10:00:00
300,5531.1165,5514.6637,5517.3844,5529.0585,5524.4230333333335,17345559.0,40525754385.0,2021-01-11 10:15:00
300,5544.8746,5525.8382,5529.0585,5542.446,5536.12278,13569336.0,32155976874.0,2021-01-11 10:30:00
300,5555.6916,5522.7959,5542.446,5541.9854,5537.636106666667,13227975.0,28905199224.0,2021-01-11 10:45:00
300,5545.2426,5530.1645,5541.9854,5541.7134,5538.267926666666,10956358.0,23388595972.0,2021-01-11 11:00:00
300,5541.7134,5517.8977,5541.7134,5531.482,5530.990080000001,10563145.0,22147377763.0,2021-01-11 11:15:00
300,5532.8563,5484.1917,5531.482,5492.7416,5510.191206666666,11585416.0,24420661313.0,2021-01-11 11:30:00
300,5510.9807,5490.6503,5492.7416,5506.4854,5500.623420000001,10630682.0,22829808177.0,2021-01-11 13:15:00
300,5506.4854,5490.6007,5506.4854,5499.1498,5498.85728,9924884.0,23772170051.0,2021-01-11 13:30:00
300,5499.8567,5469.9105,5499.1498,5469.4529,5483.73436,11160609.0,24258622392.0,2021-01-11 13:45:00
300,5476.7105,5457.8375,5469.4529,5457.1789,5466.720586666666,10320301.0,23220956495.0,2021-01-11 14:00:00
300,5457.1789,5414.2942,5457.1789,5415.6437,5435.593486666667,13293778.0,29998368148.0,2021-01-11 14:15:00
300,5447.168,5412.5046,5415.6437,5445.117,5432.835533333333,10116329.0,23556128346.0,2021-01-11 14:30:00
