OpenTime,OpenPoint,OpenHV,CloseTime,ClosePoint,CloseHV,ProfitRate
2022-02-15 09:45:00,4567.3712,0.11910631786821496,2022-02-15 13:45:00,4584.6039,0.11017681908952222,-0.08727489164985461
2022-02-15 14:00:00,4585.9062,0.10731031005746555,2022-02-16 10:00:00,4633.4483,0.1097294358027674,0.059742617719848845
2022-02-16 10:15:00,4635.6254,0.11064167198596947,2022-02-16 14:30:00,4609.5577,0.10561153850507489,-0.02800894259741433
2022-02-16 14:45:00,4615.1615,0.10566436601568764,2022-02-17 13:30:00,4631.9457,0.10812576467295165,0.012721607514134998
2022-02-17 13:45:00,4641.9785,0.10821573713090143,2022-02-18 10:00:00,4621.3349,0.1077662645326078,-0.010589473122329742
2022-02-18 10:15:00,4624.0708,0.10855525408982739,2022-02-18 14:30:00,4637.6595,0.0997614451429645,-0.09915478233760715
2022-02-18 14:45:00,4645.6219,0.10018066308765629,2022-02-21 14:00:00,4618.4647,0.09506272093220731,-0.08158464667096732
2022-02-21 14:15:00,4616.467,0.09529039485777924,2022-02-22 09:45:00,4582.7768,0.11566000368861927,0.21040222482341314
2022-02-22 10:00:00,4555.7339,0.11809883601044557,2022-02-22 14:30:00,4555.0607,0.1160134750010869,-0.017818569010303934
2022-02-22 14:45:00,4570.8004,0.11574489161909829,2022-02-23 13:15:00,4612.9365,0.11686857196166678,0.04624973626992511
2022-02-23 13:30:00,4614.0187,0.11648362878377638,2022-02-24 09:45:00,4586.8628,0.1245185971137663,0.06391434943179639
2022-02-24 10:00:00,4600.8632,0.12478403884662996,2022-02-24 11:30:00,4563.5588,0.12611775225580724,0.0459117347633788
2022-02-24 13:15:00,4530.653,0.14172580533833867,2022-02-24 14:15:00,4507.5386,0.14555827769417556,0.045547016185774905
2022-02-24 14:30:00,4491.3083,0.14672044914115495,2022-02-25 10:00:00,4599.3834,0.16795785375529299,0.2805506362016595
2022-02-25 10:15:00,4605.9612,0.16926100659316914,2022-02-25 14:00:00,4572.1736,0.17010953095197517,0.021913506126370254
2022-02-25 14:15:00,4566.9432,0.17086735966478664,2022-02-28 13:15:00,4558.7158,0.17532929391253502,-0.06406417921584717
2022-02-28 13:30:00,4559.2904,0.1752861501686897,2022-03-01 10:45:00,4595.8501,0.16289378940036467,-0.07576920940605134
2022-03-01 11:00:00,4595.9895,0.16310594881567966,2022-03-01 14:45:00,4622.1616,0.16436370242000622,0.02126196859339902
2022-03-01 15:00:00,4619.6862,0.16412130360403107,2022-03-02 11:15:00,4571.9347,0.17093449480420875,0.062380311505356965
2022-03-02 11:30:00,4571.2221,0.1709426220562863,2022-03-03 10:15:00,4572.7939,0.16688016263003755,-0.040178983225940795
2022-03-03 10:30:00,4568.9845,0.1669593149438155,2022-03-03 15:00:00,4551.6283,0.14040045486082198,-0.19285550089681985
2022-03-04 09:45:00,4508.3072,0.13208770474323628,2022-03-04 14:15:00,4497.887,0.13312074213326308,0.009156330749704284
2022-03-04 14:30:00,4491.4006,0.1331084273879159,2022-03-07 09:45:00,4418.0905,0.16672753870872345,0.229484158887236
2022-03-07 10:00:00,4397.0532,0.17018648789974186,2022-03-07 14:00:00,4363.6867,0.17008357316846412,0.008928852000775723
2022-03-07 14:15:00,4362.9005,0.1700670944027727,2022-03-08 11:15:00,4281.7213,0.17417443582779002,0.06601102544978045
2022-03-08 11:30:00,4279.1953,0.17836832491654833,2022-03-08 14:15:00,4300.6494,0.18842928165727998,0.06602086048219578
2022-03-08 14:30:00,4284.5945,0.19096963623662253,2022-03-09 11:30:00,4210.8894,0.1945368406896751,0.04350624792873943
2022-03-09 13:15:00,4197.0908,0.1994670508006736,2022-03-09 13:45:00,4120.4829,0.20701293188899203,0.07548675363596286
2022-03-09 14:00:00,4142.8372,0.21418632615561908,2022-03-09 14:45:00,4234.7763,0.2346419389836707,0.13609741206582618
2022-03-09 15:00:00,4226.3463,0.23524384041499258,2022-03-10 09:45:00,4314.3267,0.2695360719077118,0.16760419301587418
2022-03-10 10:00:00,4306.3828,0.2685394705503124,2022-03-10 14:15:00,4305.1498,0.27202392674607556,0.012902183981150887
2022-03-10 14:30:00,4299.0408,0.2720058841293719,2022-03-11 10:45:00,4209.5892,0.294989650976131,0.09257030361661943
2022-03-11 11:00:00,4211.1223,0.2952621308192318,2022-03-11 14:30:00,4315.8094,0.30666779816567435,0.07203720522153054
2022-03-11 14:45:00,4306.3427,0.30669317079488595,2022-03-14 13:45:00,4221.7004,0.3024144470107743,-0.03492134690473567
2022-03-14 14:00:00,4205.9243,0.3024392712092334,2022-03-15 09:45:00,4090.8,0.3454397591839256,0.1536302280367466
2022-03-15 10:00:00,4075.4411,0.3455254683755876,2022-03-15 13:15:00,4067.8729,0.3511917615985555,0.01771417355180708
2022-03-15 13:30:00,4057.017,0.3503454168056007,2022-03-16 10:30:00,3992.9915,0.3548023486222813,0.008247341984809586
2022-03-16 10:45:00,3985.0563,0.35545508341776744,2022-03-16 13:30:00,4111.3607,0.3799970191383323,0.11011733273770989
2022-03-16 13:45:00,4127.0154,0.3808617217052116,2022-03-17 10:45:00,4240.8521,0.36492764971203684,-0.02691907104876882
2022-03-17 11:00:00,4254.2232,0.36527714909177944,2022-03-17 15:00:00,4237.6956,0.3664324477330833,0.0038865177221503754
2022-03-18 09:45:00,4228.076,0.34826968035435474,2022-03-18 14:00:00,4277.7482,0.34247570163735674,-0.009707833077681997
2022-03-18 14:15:00,4273.047,0.34237188488384507,2022-03-21 13:15:00,4242.5941,0.3255380644208172,-0.11398131388663807
