ProfitRate,Time
1.0,2022-02-15 09:45:00
0.9965035598970323,2022-02-15 10:00:00
0.998830607480797,2022-02-15 10:15:00
0.9978959648688991,2022-02-15 10:30:00
0.9975340548298202,2022-02-15 10:45:00
0.9956233605021566,2022-02-15 11:00:00
0.9952065387442348,2022-02-15 11:15:00
0.993659848957869,2022-02-15 11:30:00
0.9932617609611192,2022-02-15 13:15:00
0.9895570847123142,2022-02-15 13:30:00
0.9896145433308938,2022-02-15 13:45:00
0.9896145433308938,2022-02-15 14:00:00
0.9901775242059201,2022-02-15 14:15:00
0.9878796975717665,2022-02-15 14:30:00
0.988356651035486,2022-02-15 14:45:00
0.9889089553072087,2022-02-15 15:00:00
0.9927470627819429,2022-02-16 09:45:00
0.9966081896156839,2022-02-16 10:00:00
0.9966081896156839,2022-02-16 10:15:00
0.9947902835719057,2022-02-16 10:30:00
0.9948181723196903,2022-02-16 10:45:00
0.9948805373963834,2022-02-16 11:00:00
0.9947715541971679,2022-02-16 11:15:00
0.9947698388341915,2022-02-16 11:30:00
0.9918275805637727,2022-02-16 13:15:00
0.9914854390541892,2022-02-16 13:30:00
0.9909354126160644,2022-02-16 13:45:00
0.990914390600462,2022-02-16 14:00:00
0.9929489894711345,2022-02-16 14:15:00
0.9929932493348764,2022-02-16 14:30:00
0.9929932493348764,2022-02-16 14:45:00
0.9927871742713663,2022-02-16 15:00:00
0.9895544008554165,2022-02-17 09:45:00
0.9891409037399951,2022-02-17 10:00:00
0.9920200090261326,2022-02-17 10:15:00
0.991520132500384,2022-02-17 10:30:00
0.9921884958790792,2022-02-17 10:45:00
0.9938268224011355,2022-02-17 11:00:00
0.9940623450969539,2022-02-17 11:15:00
0.9936694294803311,2022-02-17 11:30:00
0.9956844388766479,2022-02-17 13:15:00
0.9941887600442781,2022-02-17 13:30:00
0.9941887600442781,2022-02-17 13:45:00
0.9939466106776954,2022-02-17 14:00:00
0.994304479808326,2022-02-17 14:15:00
0.9943483242189057,2022-02-17 14:30:00
0.9926323524456194,2022-02-17 14:45:00
0.9923353934533489,2022-02-17 15:00:00
0.9972152707430416,2022-02-18 09:45:00
0.9926093920704206,2022-02-18 10:00:00
0.9926093920704206,2022-02-18 10:15:00
0.9884209700534065,2022-02-18 10:30:00
0.9882956425706252,2022-02-18 10:45:00
0.9857346016954375,2022-02-18 11:00:00
0.9851717198471638,2022-02-18 11:15:00
0.9852813490069452,2022-02-18 11:30:00
0.9844049666134189,2022-02-18 13:15:00
0.9842329341275657,2022-02-18 13:30:00
0.9834383807597886,2022-02-18 13:45:00
0.9831299360414597,2022-02-18 14:00:00
0.9817934583812816,2022-02-18 14:15:00
0.980948133516545,2022-02-18 14:30:00
0.980948133516545,2022-02-18 14:45:00
0.9811714587025998,2022-02-18 15:00:00
0.9729180025630877,2022-02-21 09:45:00
0.974130921230519,2022-02-21 10:00:00
0.9726069776602475,2022-02-21 10:15:00
0.9722618328994918,2022-02-21 10:30:00
0.971196148373446,2022-02-21 10:45:00
0.9721941958494675,2022-02-21 11:00:00
0.9716175184021517,2022-02-21 11:15:00
0.9707919645502601,2022-02-21 11:30:00
0.9691955170928221,2022-02-21 13:15:00
0.9681683777820469,2022-02-21 13:30:00
0.9690327599631208,2022-02-21 13:45:00
0.971375876039722,2022-02-21 14:00:00
0.971375876039722,2022-02-21 14:15:00
0.9698307547863914,2022-02-21 14:30:00
0.9703729714360707,2022-02-21 14:45:00
0.9707144713500535,2022-02-21 15:00:00
0.9982769761901142,2022-02-22 09:45:00
0.9982769761901142,2022-02-22 10:00:00
0.9972297664768633,2022-02-22 10:15:00
0.9968985508549577,2022-02-22 10:30:00
0.9969137633308159,2022-02-22 10:45:00
0.997840330586669,2022-02-22 11:00:00
0.997646624473058,2022-02-22 11:15:00
0.9973711332955403,2022-02-22 11:30:00
0.9960451067353223,2022-02-22 13:15:00
0.9962438058950644,2022-02-22 13:30:00
0.9961517403556732,2022-02-22 13:45:00
0.9963418861711812,2022-02-22 14:00:00
0.9958271097864297,2022-02-22 14:15:00
0.9958265144063444,2022-02-22 14:30:00
0.9958265144063444,2022-02-22 14:45:00
0.99497042104628,2022-02-22 15:00:00
0.994100803542413,2022-02-23 09:45:00
0.9931889816537096,2022-02-23 10:00:00
0.9939342391391908,2022-02-23 10:15:00
0.9930753789031184,2022-02-23 10:30:00
0.9941773541350605,2022-02-23 10:45:00
0.9955722393964855,2022-02-23 11:00:00
0.9953079020515371,2022-02-23 11:15:00
0.9956602052222332,2022-02-23 11:30:00
1.001050155623819,2022-02-23 13:15:00
1.001050155623819,2022-02-23 13:30:00
1.0006943214540964,2022-02-23 13:45:00
1.000752113056754,2022-02-23 14:00:00
1.0007668689151303,2022-02-23 14:15:00
1.0001830414463166,2022-02-23 14:30:00
1.000079420200382,2022-02-23 14:45:00
1.0002876832554966,2022-02-23 15:00:00
1.0086324746260011,2022-02-24 09:45:00
1.0086324746260011,2022-02-24 10:00:00
1.0066440047336065,2022-02-24 10:15:00
1.0065809836687367,2022-02-24 10:30:00
1.0071843840342074,2022-02-24 10:45:00
1.0074917481680437,2022-02-24 11:00:00
1.010573838449831,2022-02-24 11:15:00
1.013988014504846,2022-02-24 11:30:00
1.013988014504846,2022-02-24 13:15:00
1.0149446861956963,2022-02-24 13:30:00
1.014716412806995,2022-02-24 13:45:00
1.0150393476449182,2022-02-24 14:00:00
1.0192898743597947,2022-02-24 14:15:00
1.0192898743597947,2022-02-24 14:30:00
1.025870578565918,2022-02-24 14:45:00
1.0263268559499963,2022-02-24 15:00:00
