ProfitRate,Time
1.0,2022-02-15 09:45:00
0.9962121898884517,2022-02-15 10:00:00
0.9962121898884517,2022-02-15 10:15:00
0.9949189469200748,2022-02-15 10:30:00
0.9948124989579055,2022-02-15 10:45:00
0.9924527268430812,2022-02-15 11:00:00
0.9924527268430812,2022-02-15 11:15:00
0.99020267156127,2022-02-15 11:30:00
0.9915668997420692,2022-02-15 13:15:00
0.9878990475845427,2022-02-15 13:30:00
0.9878990475845427,2022-02-15 13:45:00
0.9842309253700953,2022-02-15 14:00:00
0.985110937076987,2022-02-15 14:15:00
0.985110937076987,2022-02-15 14:30:00
0.9853688301194702,2022-02-15 14:45:00
0.9859818998513895,2022-02-15 15:00:00
0.9902732441166742,2022-02-16 09:45:00
0.9945979023741467,2022-02-16 10:00:00
0.9963441665613902,2022-02-16 10:15:00
0.9943081980615478,2022-02-16 10:30:00
0.993423172987595,2022-02-16 10:45:00
0.9926584645765857,2022-02-16 11:00:00
0.9946359108853784,2022-02-16 11:15:00
0.9929040635321621,2022-02-16 11:30:00
0.9884410413029475,2022-02-16 13:15:00
0.9884410413029475,2022-02-16 13:30:00
0.9874028731660972,2022-02-16 13:45:00
0.9872097014673278,2022-02-16 14:00:00
0.9883073758008929,2022-02-16 14:15:00
0.9886542723739054,2022-02-16 14:30:00
0.9883108291968437,2022-02-16 14:45:00
0.9883311273589825,2022-02-16 15:00:00
0.984308278766612,2022-02-17 09:45:00
0.984308278766612,2022-02-17 10:00:00
0.9874733669470023,2022-02-17 10:15:00
0.987301048311459,2022-02-17 10:30:00
0.9876052427799694,2022-02-17 10:45:00
0.9886939986751389,2022-02-17 11:00:00
0.9885862982276233,2022-02-17 11:15:00
0.9885862982276233,2022-02-17 11:30:00
0.9924620370784388,2022-02-17 13:15:00
0.9920094565260752,2022-02-17 13:30:00
0.9914752346346734,2022-02-17 13:45:00
0.9917002743047462,2022-02-17 14:00:00
0.9917002743047462,2022-02-17 14:15:00
0.9913428322900761,2022-02-17 14:30:00
0.9913428322900761,2022-02-17 14:45:00
0.9906164992082003,2022-02-17 15:00:00
0.9906164992082003,2022-02-18 09:45:00
0.9891361235127565,2022-02-18 10:00:00
0.9903782226457016,2022-02-18 10:15:00
0.9903782226457016,2022-02-18 10:30:00
0.9897331113828972,2022-02-18 10:45:00
0.9869739605453033,2022-02-18 11:00:00
0.9869739605453033,2022-02-18 11:15:00
0.9866923765351888,2022-02-18 11:30:00
0.9869349501923945,2022-02-18 13:15:00
0.9867707512131156,2022-02-18 13:30:00
0.9867707512131156,2022-02-18 13:45:00
0.9864090000888599,2022-02-18 14:00:00
0.9849388337792498,2022-02-18 14:15:00
0.9849388337792498,2022-02-18 14:30:00
0.9853511676881143,2022-02-18 14:45:00
0.9863415557656143,2022-02-18 15:00:00
0.9759764796449097,2022-02-21 09:45:00
0.9759764796449097,2022-02-21 10:00:00
0.9739346253276752,2022-02-21 10:15:00
0.9739346253276752,2022-02-21 10:30:00
0.9716597464616971,2022-02-21 10:45:00
0.9716597464616971,2022-02-21 11:00:00
0.970764167127342,2022-02-21 11:15:00
0.9703817737924045,2022-02-21 11:30:00
0.9705711434935713,2022-02-21 13:15:00
0.9705711434935713,2022-02-21 13:30:00
0.9700555891007712,2022-02-21 13:45:00
0.9700555891007712,2022-02-21 14:00:00
0.9699107933795208,2022-02-21 14:15:00
0.9681097257303339,2022-02-21 14:30:00
0.9686766929763972,2022-02-21 14:45:00
0.9686766929763972,2022-02-21 15:00:00
1.0038129430733518,2022-02-22 09:45:00
1.019598035215945,2022-02-22 10:00:00
1.0167743715541881,2022-02-22 10:15:00
1.017855216288215,2022-02-22 10:30:00
1.0174979813723435,2022-02-22 10:45:00
1.0132820495025185,2022-02-22 11:00:00
1.013939699183697,2022-02-22 11:15:00
1.0177169469832446,2022-02-22 11:30:00
1.0203322338832883,2022-02-22 13:15:00
1.0126662044884969,2022-02-22 13:30:00
1.015928431682563,2022-02-22 13:45:00
1.0174782307976358,2022-02-22 14:00:00
1.016841438451867,2022-02-22 14:15:00
1.0178328389480895,2022-02-22 14:30:00
1.0091257163281333,2022-02-22 14:45:00
1.007150495572035,2022-02-22 15:00:00
0.9997045373416275,2022-02-23 09:45:00
1.000775080840185,2022-02-23 10:00:00
0.9970876337219428,2022-02-23 10:15:00
0.9983040386127091,2022-02-23 10:30:00
0.996267545731398,2022-02-23 10:45:00
0.9948973366494857,2022-02-23 11:00:00
0.9953128484598533,2022-02-23 11:15:00
0.9950254884560026,2022-02-23 11:30:00
0.9938813523630186,2022-02-23 13:15:00
0.9932379734890754,2022-02-23 13:30:00
0.9933903035514122,2022-02-23 13:45:00
0.9933903035514122,2022-02-23 14:00:00
0.9931000241863767,2022-02-23 14:15:00
0.9924891319433086,2022-02-23 14:30:00
0.9924225505063328,2022-02-23 14:45:00
0.9926787180052397,2022-02-23 15:00:00
1.0011099773807395,2022-02-24 09:45:00
0.9995144123333258,2022-02-24 10:00:00
0.9971212652428869,2022-02-24 10:15:00
0.9977417554363774,2022-02-24 10:30:00
0.9982829093051905,2022-02-24 10:45:00
0.9995595068608862,2022-02-24 11:00:00
1.0040790251466054,2022-02-24 11:15:00
1.0090401393784338,2022-02-24 11:30:00
1.0090401393784338,2022-02-24 13:15:00
1.0100714765007717,2022-02-24 13:30:00
1.00982538704076,2022-02-24 13:45:00
1.0101735259996443,2022-02-24 14:00:00
1.0101735259996443,2022-02-24 14:15:00
1.0116073904932767,2022-02-24 14:30:00
1.0154632827533023,2022-02-24 14:45:00
1.0162715602722088,2022-02-24 15:00:00
1.0381861121423073,2022-02-25 09:45:00
1.0452044669019755,2022-02-25 10:00:00
1.0488913456962627,2022-02-25 10:15:00
1.0464321622926753,2022-02-25 10:30:00
